code,name,details,priceCJ,pricePZ,imageUrl,offers
PE0206,ALUMINIO AZTECA 10,24 / 1 UNI,$371.26,$15.47,https://i.postimg.cc/TPz1KG4c/PE0206.jpg,OFERTA
PE0205,ALUMINIO AZTECA 7,24 / 1 UNI,$337.20,$14.05,https://i.postimg.cc/Yq0M279d/PE0205.png,OFERTA
PH0499,ADORABLE 270 HOJAS,20 / 4 UNI,$401.64,$20.08,https://i.postimg.cc/TYzVXMRd/PH0499.jpg,OFERTA
PH0273,ADORABLE 550 HOJAS,8 / 6 UNI,$383.56,$47.95,https://i.postimg.cc/sxthy7C6/PH0273.jpg,OFERTA
PH0288,ADORABLE HIG. 400HD,20 / 4 UNI,$493.40,$24.67,https://i.postimg.cc/25vJ54z3/PH0288.jpg,OFERTA
PH0631,BIG FACIAL QUALITY 340 HD,12 / 4 UNI,$252.00,$21.00,https://i.postimg.cc/7Zr2W3Vf/PH0631.jpg,OFERTA
PH0247,BIG QUALITY 600HD,8 / 6 UNI,$422.27,$52.78,https://i.postimg.cc/sftTMMNh/PH0247.jpg,OFERTA
PH0561,COTTONELLE ELEG. 16PZ,3 / 16 UNI,$346.80,$115.60,https://i.postimg.cc/nhZJ8cd4/PH0561.jpg,OFERTA
PH0537,COTTONELLE HIG.AA 252HD,10 / 4 UNI,$309.52,$30.95,https://i.postimg.cc/mhfmHkc8/PH0537.jpg,OFERTA
PH0283,ELITE COL 200HD,12 / 4 UNI,$203.64,$16.97,https://i.postimg.cc/8PY1qV2w/PH0283.jpg,OFERTA
PH0407,KLEENEX MEGA IND. 80S,80 / 1 UNI,$562.29,$7.03,https://i.postimg.cc/qMNrc5NK/PH0407.jpg,OFERTA
PH0508,LYS HIGIENICO 195 HD,24 / 4 UNI,$277.89,$11.58,https://i.postimg.cc/L6178Kqx/PH0508.jpg,OFERTA
PH0460,MONARCA 12x4s 400HD,12 / 4 UNI,$252.02,$21.00,https://i.postimg.cc/bJ6Xkx8L/PH0460.jpg,OFERTA
PH0628,MONARCA EX GRANDE 605HD,9 / 4 UN,$291.39,$32.38,https://i.postimg.cc/W1VS7Qjp/PH0628.jpg,OFERTA
PH0350,PETALO RENDIMAX HIG 12s,4 / 12 UNI,$343.32,$85.83,https://i.postimg.cc/rmgTg6G1/PH0350.jpg,OFERTA
PH0417,PETALO ULTRA RESIST.300HD,10 / 4 UNI,$226.17,$22.62,https://i.postimg.cc/4xtTqHbN/PH0417.jpg,OFERTA
PH0231,PREMIER MEGA ROLL,12 / 4 UNI,$347.20,$28.93,https://i.postimg.cc/prG2VNpW/PH0231.jpg,OFERTA
PH0588,REGIO AIES LAVANDA 300HD,12 / 4 UNI,$296.61,$24.72,https://i.postimg.cc/BvVkvqCw/PH0588.png,OFERTA
PH0590,REGIO AIRES LAVANDA 200HD,4 / 12 UNI,$185.88,$46.47,https://i.postimg.cc/26LJbPcj/PH0590.png,OFERTA
PH0591,REGIO AIRES LAVANDA 230HD,4 / 18 UNI,$309.51,$77.38,https://i.postimg.cc/HLPSYVsV/PH0591.jpg,OFERTA
PH0589,REGIO AIRES LAVANDA 500HD,6 / 4 UNI,$226.39,$37.73,https://i.postimg.cc/g2GfStJ4/PH0589.jpg,OFERTA
PH0573,REGIO ECONOMAX 250 HD,10 / 4 UNI,$197.12,$19.71,https://i.postimg.cc/7Lt8T1q9/PH0573.jpg,OFERTA
PH0581,REGIO RINDE+500 HD 6s,8 / 6 UNI,$347.50,$43.44,https://i.postimg.cc/d1ynqrJn/ph0581.jpg,OFERTA
PH0530,REGIO RINDE+6+2sROLL,5 / 8 UNI,$240.41,$48.08,https://i.postimg.cc/Gpqg5bNm/PH0530.jpg,OFERTA
PH0550,SUAVEL 325 HD 4s,10 / 4 UNI,$236.78,$23.68,https://i.postimg.cc/wTDpbskx/PH0550.jpg,OFERTA
PH0158,SUAVEL HIGIENICO 4s,12 / 4 UNI,$181.89,$15.16,https://i.postimg.cc/gctQj9Dm/PH0158.jpg,OFERTA
PH0344,SUAVEL HIGIENICO M JUMBO,20 / 4 UNI,$573.36,$28.67,https://i.postimg.cc/MG7qMfvr/PH0344.jpg,OFERTA
PH0902,VOGUE HIGIENICO NVO 4s,24 / 4 UNI,$615.83,$25.66,https://i.postimg.cc/fTNFyqxZ/PH0902.jpg,OFERTA
PH0904,VOGUE HIGIENICO NVO 80s,80 / 1 UNI,$538.20,$6.73,https://i.postimg.cc/6p6mL7jm/PH0904.jpg,OFERTA
PL1229,MAGITEL MULT/EXTRA GRANDE 5 UNI.,48 / 5 UNI,$896.05,$18.67,https://i.postimg.cc/439bzsg0/PL1229.jpg,OFERTA
PL1159,VANISH REMOV.MANCHAS 420M,12 / 420 ML,$300.23,$25.02,https://i.postimg.cc/9fR1JyGJ/PL1159.jpg,OFERTA
PT0163,DEL FUERTE 259 GRS.,24 / 259 GR,$185.12,$7.71,https://i.postimg.cc/SNq4yCrQ/PT0163.jpg,OFERTA
PT0148,DEL FUERTE P.TOMA 345GR,24 / 345 GR,$294.87,$12.29,https://i.postimg.cc/ZnMC7vPx/PT0148.jpg,OFERTA
PT0188,DEL FUERTE P.TOMA PREC.ES,12 / 1 KG,$320.84,$26.74,https://i.postimg.cc/FzRYVVSK/PT0140.jpg,OFERTA
SD0150,SARDINAS MARINERO TOM.155G,48 / 155 GR,$535.71,$11.16,https://i.postimg.cc/LXZf1Mcs/SD0150.jpg,OFERTA
