code,name,details,priceCJ,pricePZ,imageUrl,offers
AR0616,GLADE AER LAVANDA 275M,12 / 275 ML,380.74,31.73,https://i.postimg.cc/B6rq2dM5/AR0616.jpg,OFERTA
AR1759,GLADE AERO LAVANDA 323 GR,12 / 400 ML,536.99,44.75,https://i.postimg.cc/Qtsxy0Np/AR1759.jpg,OFERTA
AR0659,GLADE ALEGRIA FLORA Y FRUTOS ROJOS GEL,12 / 70 GR,128.02,10.67,https://i.postimg.cc/pdd3qpb8/AR0659.jpg,OFERTA
AR0398,GLADE HAWAIIAN BRZ,12 / 400 ML,536.99,44.75,https://i.postimg.cc/25145jnH/AR0398.jpg,OFERTA
AR0289,GLADE JARDIN CAMPESTRE,12 / 400 ML,536.99,44.75,https://i.postimg.cc/bwNxK9rf/AR0289.jpg,OFERTA
AR0657,GLADE LAVANDA GEL HOME,12 / 70 GR,128.02,10.67,https://i.postimg.cc/Nf6h03k1/AR0657.jpg,OFERTA
AR0658,GLADE LIMON GEL HOME,12 / 70 GR,128.02,10.67,https://i.postimg.cc/t4pKnBrQ/AR0658.jpg,OFERTA
AR0482,GLADE MANZANA CANELA,12 / 400 ML,536.99,44.75,https://i.postimg.cc/TYTgDJr5/AR0482.jpg,OFERTA
AR0656,GLADE MANZANA Y CANELA 275ML,12 / 275 ML,380.74,31.73,https://i.postimg.cc/W1V9Fhn6/AR0656.jpg,OFERTA
AR0660,GLADE MORA RADIANTE GEL HOME,12 / 70 GR,128.02,10.67,https://i.postimg.cc/zfP6M8qZ/AR0660.jpg,OFERTA
AR0618,GLADE MORA RADIANTE.400M,12 / 400 ML,536.99,44.75,https://i.postimg.cc/ydzkz7j3/AR0618.jpg,OFERTA
AR0621,GLADE MORA RADIANTE.275M,12 / 275 ML,380.74,31.73,https://i.postimg.cc/76MbHjts/AR0621.jpg,OFERTA
AR0484,GLADE PARAISO AZUL,12 / 400 ML,536.99,44.75,https://i.postimg.cc/VL4MB0RG/AR0484.jpg,OFERTA
AR0664,PATO BRISA MARINA PAST 18GR,48 / 18 GR,490.91,10.23,https://i.postimg.cc/P5G3YtTX/AR0664.jpg,DISPONIBLE
AR0665,PATO LAVANDA PAST 18GR,48 / 18 GR,490.91,10.23,https://i.postimg.cc/Zn2ffmN1/AR0665.jpg,DISPONIBLE
AT0296,ATUN MARINERO EN ACEITE 120GR,24 / 120 GR,330.58,13.77,https://i.postimg.cc/h4ZcLSm8/AT0206.jpg,DISPONIBLE
AA AT0297,ATUN MARINERO EN AGUA 120GR,24 / 120 GR,330.58,13.77,https://i.postimg.cc/QC2zfnhD/AT0297.jpg,DISPONIBLE
